row_index,workload_id,task_source_id,profile_name,missing_metadata_fields
121,m2063-osd-osd_v0_0168_t4::L1_one_step,m2063-osd-osd_v0_0168_t4,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
122,m2063-osd-osd_v0_0168_t4::L2_window_50,m2063-osd-osd_v0_0168_t4,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
123,m2063-osd-osd_v0_0168_t4::L3_online_gru,m2063-osd-osd_v0_0168_t4,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
124,m2063-osd-osd_v0_0168_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0168_t4,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
125,m2063-osd-osd_v0_0169_t4::L0_current_masked,m2063-osd-osd_v0_0169_t4,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
126,m2063-osd-osd_v0_0169_t4::L1_one_step,m2063-osd-osd_v0_0169_t4,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
127,m2063-osd-osd_v0_0169_t4::L2_window_50,m2063-osd-osd_v0_0169_t4,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
128,m2063-osd-osd_v0_0169_t4::L3_online_gru,m2063-osd-osd_v0_0169_t4,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
129,m2063-osd-osd_v0_0169_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0169_t4,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
130,m2063-osd-osd_v0_0170_t4::L0_current_masked,m2063-osd-osd_v0_0170_t4,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
131,m2063-osd-osd_v0_0170_t4::L1_one_step,m2063-osd-osd_v0_0170_t4,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
132,m2063-osd-osd_v0_0170_t4::L2_window_50,m2063-osd-osd_v0_0170_t4,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
133,m2063-osd-osd_v0_0170_t4::L3_online_gru,m2063-osd-osd_v0_0170_t4,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
134,m2063-osd-osd_v0_0170_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0170_t4,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
135,m2063-osd-osd_v0_0171_t4::L0_current_masked,m2063-osd-osd_v0_0171_t4,L0_current_masked,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
136,m2063-osd-osd_v0_0171_t4::L1_one_step,m2063-osd-osd_v0_0171_t4,L1_one_step,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
137,m2063-osd-osd_v0_0171_t4::L2_window_50,m2063-osd-osd_v0_0171_t4,L2_window_50,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
138,m2063-osd-osd_v0_0171_t4::L3_online_gru,m2063-osd-osd_v0_0171_t4,L3_online_gru,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
139,m2063-osd-osd_v0_0171_t4::L3_reset_control_corrected,m2063-osd-osd_v0_0171_t4,L3_reset_control_corrected,source_role_semantics;parent_feasibility_tier_id;normalized_surface_variant;sampled_obstacle_label
