policy,obstacle_label,mu_bucket,mass_bucket,brake_bucket,steering_tau_bucket,episodes,return_mean,success_rate,termination_rate,lateral_rmse_mean,lateral_peak_mean,beta_abs_error_mean,beta_abs_peak_mean,high_sideslip_fraction_mean,speed_mean,action_rate_mean,collision_rate,obstacle_completion_rate,min_obstacle_clearance_mean,plan_horizon_mean,plan_action_rate_mean,mu_min,mu_max,obstacle_collision_radius_mean,min_clearance_margin_mean,min_clearance_margin_min
heuristic,unavoidable,medium,heavy,nominal,slow,1,6.667325144107398,0.0,1.0,0.32162400359624593,0.5311654961381791,0.13930970390091776,0.07092874752071908,0.0,11.73721950865982,0.007323134690523148,1.0,0.0,1.47469508854452,1.0,,0.7267525874444074,0.7267525874444074,1.5807994088468171,-0.1061043203022971,-0.1061043203022971
heuristic,unavoidable,medium,heavy,strong,fast,1,9.05719269458502,0.0,1.0,0.5938178348041672,0.9407032057742484,0.14896660009769816,0.04202259582424643,0.0,12.545990999815638,0.002218732377514243,1.0,0.0,1.729800284126542,1.0,,0.5784093202617614,0.5784093202617614,1.9525806823369538,-0.22278039821041173,-0.22278039821041173
heuristic,unavoidable,medium,heavy,strong,slow,4,17.03077963747543,0.0,1.0,0.265758414522411,0.522461454204997,0.12518296326096978,0.020954692267019716,0.0,13.706422210762184,0.00836747614084743,1.0,0.0,1.6469007055719755,1.0,,0.4773991674187459,0.7811960657939303,1.7298681487228498,-0.08296744315087401,-0.16142591976336385
heuristic,unavoidable,high,light,strong,fast,1,14.527142134210148,0.0,1.0,0.3674377659791079,0.5031290562708008,0.25044266894469264,0.053144688360782975,0.0,14.059182312859692,0.016947291791439056,1.0,0.0,1.2975210336539769,1.0,,1.1266954544139025,1.1266954544139025,1.392455980424549,-0.09493494677057224,-0.09493494677057224
heuristic,unavoidable,high,light,strong,nominal,1,14.577706805698703,0.0,1.0,0.6096091334428086,1.0448021798005556,0.10750723122638957,0.017695170160070016,0.0,12.370205467731845,0.005996957421302795,1.0,0.0,1.7220132465778277,1.0,,1.0653269107097856,1.0653269107097856,1.9363009817083872,-0.21428773513055943,-0.21428773513055943
heuristic,unavoidable,high,nominal,weak,slow,1,8.010664913132658,0.0,1.0,0.18942397591578447,0.23107170353621598,0.05601382398861041,0.03300997782682001,0.0,13.41683096822786,0.005511576775461435,1.0,0.0,1.4641584758598034,1.0,,1.0715747723481348,1.0715747723481348,1.6774948394813016,-0.21333636362149822,-0.21333636362149822
heuristic,unavoidable,high,heavy,weak,slow,3,6.623763141428846,0.0,1.0,0.5803947130628567,0.76530977013766,0.1945064669649599,0.017488036977574138,0.0,12.356631734170437,0.008147589668321112,1.0,0.0,1.6499616912335107,1.0,,0.8135269996246313,1.1212414770341304,1.7286580439308556,-0.07869635269734498,-0.185192120401952
heuristic,unavoidable,high,heavy,nominal,fast,1,5.148135502416121,0.0,1.0,0.3833449292911324,0.5183951197713199,0.2037260266165806,0.015911365263844877,0.0,11.466940672050804,0.010587264783680439,1.0,0.0,1.6747813480066984,1.0,,1.0293604851385483,1.0293604851385483,1.7978318185402666,-0.12305047053356821,-0.12305047053356821
heuristic,unavoidable,high,heavy,nominal,slow,1,14.127075281997325,0.0,1.0,0.6542637778427353,1.2910812772768452,0.053209785034423085,0.01436774004327362,0.0,14.52263431167909,0.004413874354213476,1.0,0.0,1.821755741589761,1.0,,1.0161804563851007,1.0161804563851007,1.9706511280251635,-0.14889538643540257,-0.14889538643540257
heuristic,unavoidable,high,heavy,strong,fast,1,23.721238507506452,0.0,1.0,0.5075533672132658,1.1323833903051863,0.05740414940266118,0.007297627014130591,0.0,14.393200340222554,0.003231503302231431,1.0,0.0,1.69959125069384,1.0,,1.108580078639291,1.108580078639291,1.8396518708453253,-0.14006062015148535,-0.14006062015148535
heuristic,unavoidable,high,heavy,strong,slow,1,18.982546102315922,0.0,1.0,0.5869330583968183,1.056585800807433,0.12369362687844458,0.0826129747603165,0.0,11.852911255143718,0.003473228309303522,1.0,0.0,1.57039609775272,1.0,,0.8610854962220438,0.8610854962220438,1.7449499605333707,-0.17455386278065066,-0.17455386278065066
m290x64_a500,aes_feasible,low,heavy,nominal,slow,1,110.11582430823228,1.0,0.0,0.732364298058353,1.6549748463194973,0.3016764576351734,0.023523347461008516,0.0,10.253859100477685,0.005259095225483179,0.0,1.0,5.16052593462075,1.0,,0.3478806717182057,0.3478806717182057,1.447043562337953,3.7134823722827974,3.7134823722827974
