candidate_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
otsr_v0_0005_anchor_neighborhood,L0_current_masked,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,38.66104595558307,10.832548803062128,21.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L1_one_step,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.729180059497054,5.665936333719677,18.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_100,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.144079259878325,2.732878084603358,16.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_100_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,40.314641308717434,3.483645741737219,18.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_13,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.24303033625224,4.140007602217212,17.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_13_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.09453139109449,0.7699829382070753,16.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_25,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.24967583115205,4.124045140957306,17.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_25_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.187676529990135,3.4013074660677582,17.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_50,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,41.2364498894501,5.488563022471157,17.0,True,0,0,1,1,0,0
otsr_v0_0005_anchor_neighborhood,L2_window_50_current_tiled,outcome_by_candidate_source_profile,no_support,1,0,0,1,1,0.0,0.0,1.0,1.0,42.09933412184474,3.1037820245388,16.0,True,0,0,1,1,0,0
