seed,policy,steps,terminated,truncated,mu,initial_mu,mass,mass_scale,inertia_scale,cg_shift,tire_stiffness_scale,brake_scale,drive_scale,steer_tau_scale,drive_tau_scale,friction_step_at,friction_step_applied,obstacle_enabled,obstacle_label,collision,obstacle_completed,min_obstacle_clearance,obstacle_collision_radius,min_clearance_margin,return,mean_reward,lateral_rmse,lateral_peak,beta_abs_error_mean,beta_abs_peak,high_sideslip_fraction,speed_mean,action_rate_mean,plan_horizon,plan_action_rate_mean,plan_first_action_error_mean,left_curve_steps,left_curve_lateral_rmse,left_curve_beta_abs_error_mean,left_curve_speed_mean,left_curve_reward_mean,right_curve_steps,right_curve_lateral_rmse,right_curve_beta_abs_error_mean,right_curve_speed_mean,right_curve_reward_mean,near_zero_steps,near_zero_lateral_rmse,near_zero_beta_abs_error_mean,near_zero_speed_mean,near_zero_reward_mean,checkpoint_ablation,mu_bucket,initial_mu_bucket,mass_bucket,cg_bucket,brake_bucket,tire_bucket,steering_tau_bucket,success
9515,heuristic,57,True,False,1.1369362724108976,0.6204258288293844,1760.7230337728067,1.2142917474295218,1.2114941490926214,0.06425036671110074,1.3669758678256319,0.9868499734382377,0.6615250803207553,2.84052638991571,2.84052638991571,9,True,True,drift_required,True,False,1.9584000981455045,1.965935939226601,-0.007535841081096395,28.590303983964972,0.5015842804204381,0.6271479711789405,1.1661407562054151,0.1841412991372663,0.0043507006703343756,0.0,14.15067367613929,0.002199626062065363,1,,,57,0.6271479711789405,0.1841412991372663,14.15067367613929,0.5015842804204381,0,,,,,0,,,,,,high,medium,heavy,front,nominal,strong,slow,False
9516,heuristic,37,True,False,0.6241080415627123,0.6331392565502363,1308.2226723258811,0.9022225326385387,0.8728366775496572,0.11204678525008127,1.3860545063514254,0.8481138492837705,1.17365168318624,1.9665143890169414,1.9665143890169412,17,True,True,drift_required,True,False,1.382604327620406,1.42008111280358,-0.03747678518317388,7.321233173480575,0.19787116685082634,0.8203132627107984,1.2886017778101788,0.23894382721339133,0.029215311357989125,0.0,14.497698601890528,0.011267216876149178,1,,,37,0.8203132627107984,0.23894382721339133,14.497698601890528,0.19787116685082634,0,,,,,0,,,,,,medium,medium,light,front,weak,strong,slow,False
9517,heuristic,65,False,True,0.5199566484910332,0.6213846870381106,1239.350309640502,0.8547243514762083,0.8940835501351708,-0.015152960752206734,0.8231204376690263,1.337062152797135,0.7985254682935936,0.7979545992998144,0.7979545992998143,25,True,True,aes_feasible,False,True,2.6331170955534655,1.410649783395996,1.2224673121574696,86.6101116554352,1.3324632562374648,0.26500300805290816,0.37253083301916234,0.11424496667492132,0.02946137378982908,0.0,15.79195059616383,0.008470803499221802,1,,,65,0.26500300805290816,0.11424496667492132,15.79195059616383,1.3324632562374648,0,,,,,0,,,,,,medium,medium,light,nominal,strong,weak,fast,True
9518,heuristic,52,True,False,0.6228393946127635,0.6512518334229394,1629.0354433879288,1.123472719577882,0.8338137648108703,-0.08538667803442834,1.4186043365005823,1.116810449242753,1.1128663577359545,2.6176080631601693,2.6176080631601693,38,True,True,aes_feasible,True,False,1.210929682634973,1.443823486574028,-0.23289380393905512,24.319329438601045,0.46767941228078935,0.9662145414064699,2.06036560623847,0.040726747829672075,0.0494555218844824,0.0,14.649943041175264,0.004701537545770407,1,,,52,0.9662145414064699,0.040726747829672075,14.649943041175264,0.46767941228078935,0,,,,,0,,,,,,medium,medium,heavy,rear,strong,strong,slow,False
9519,heuristic,35,True,False,1.0715747723481348,0.6604986229583396,1495.4072193622278,1.031315323698088,1.082563557954178,-0.0795071967068659,0.7576393713917694,0.6468597577984325,1.2301885344988694,1.655782251522064,1.655782251522064,11,True,True,unavoidable,True,False,1.4641584758598034,1.6774948394813016,-0.21333636362149822,8.010664913132658,0.22887614037521878,0.18942397591578447,0.23107170353621598,0.05601382398861041,0.03300997782682001,0.0,13.41683096822786,0.005511576775461435,1,,,35,0.18942397591578447,0.05601382398861041,13.41683096822786,0.22887614037521878,0,,,,,0,,,,,,high,medium,nominal,rear,weak,weak,slow,False
9520,heuristic,82,False,True,0.7806370971264489,0.4564978630424526,1494.548046099444,1.0307227904134098,1.0337544214535743,0.09556351514083361,0.5937279005754836,0.9155553146528096,0.7450070917317175,2.101799424522785,2.101799424522785,13,True,True,aes_feasible,False,True,2.418184239577059,1.7185908481200007,0.6995933914570585,100.25852600487647,1.2226649512789813,0.5487800272472908,1.101332569967525,0.27876838378910834,0.03635098900465874,0.0,13.230283822383571,0.01048615574836731,1,,,82,0.5487800272472908,0.27876838378910834,13.230283822383571,1.2226649512789813,0,,,,,0,,,,,,medium,medium,nominal,front,nominal,weak,slow,True
9521,heuristic,44,True,False,0.8604535779883853,0.6325886153096607,1395.562946617628,0.9624572045638814,1.2262082678896375,-0.10877716677802596,1.3976396720709325,1.1591178754143847,0.8794816129822298,1.4999133037603607,1.4999133037603607,32,True,True,drift_required,True,False,1.68878956717586,1.7216977731170038,-0.03290820594114385,18.506879954388722,0.42061090805428913,0.4223183704834534,0.46534401201978426,0.0798912218341293,0.07036372857817998,0.0,14.425489335187383,0.0047846888191998005,1,,,44,0.4223183704834534,0.0798912218341293,14.425489335187383,0.42061090805428913,0,,,,,0,,,,,,high,medium,nominal,rear,strong,strong,slow,False
9522,heuristic,41,True,False,0.97248075823433,0.6705469812052982,1792.9657197773704,1.236528082605083,1.0699074310033303,0.10623654479358868,0.9190101327366401,1.273632573285595,1.2549044801620015,0.7997358593600936,0.7997358593600937,13,True,True,drift_required,True,False,1.4709620081893635,1.7806630460987471,-0.30970103790938364,9.504241681035964,0.23181077270819425,1.1341653199183406,1.7754603615391815,0.2927230241076301,0.042835646784363926,0.0,15.394029010855109,0.011734346859157085,1,,,41,1.1341653199183406,0.2927230241076301,15.394029010855109,0.23181077270819425,0,,,,,0,,,,,,high,medium,heavy,front,strong,nominal,fast,False
9523,heuristic,71,False,True,0.950977398240298,0.4652360649197386,1190.6005332899927,0.821103816062064,1.213619321709875,0.1393618214942305,0.685542348627993,0.6784092420787053,0.9927926501294784,1.5014467856012113,1.5014467856012113,35,True,True,drift_required,False,True,1.8572994800666693,1.4318115244014744,0.42548795566519493,92.9591021730279,1.3092831291975762,0.18586037962015817,0.3037704979686495,0.2515463706767661,0.0320785022538591,0.0,11.87994926513276,0.016631990671157837,1,,,71,0.18586037962015817,0.2515463706767661,11.87994926513276,1.3092831291975762,0,,,,,0,,,,,,high,medium,light,front,weak,weak,slow,True
9524,heuristic,30,True,False,0.37182495448151576,0.7007769837295952,1348.400240142689,0.9299312000984062,1.2014873985594465,-0.046113275864676506,1.1837717702425679,1.3162625463357562,1.0074793676033085,1.5341295783248101,1.5341295783248101,24,True,True,unavoidable,True,False,1.849981190309508,1.8908396634978026,-0.04085847318829461,1.274850694619385,0.042495023153979496,0.23739144461021747,0.25740646676091217,0.17615097158281992,0.024429265450986837,0.0,11.290630126187436,0.010062444023787975,1,,,30,0.23739144461021747,0.17615097158281992,11.290630126187436,0.042495023153979496,0,,,,,0,,,,,,low,medium,light,rear,strong,strong,slow,False
