task_source_id,profile_name,slice_kind,support_label,episode_count,success_count,collision_count,offtrack_outcome_count,offtrack_termination_count,success_rate,collision_rate,offtrack_outcome_rate,offtrack_termination_rate,clearance_margin_mean,return_mean,steps_mean,success_profile_count,profiles_with_success,success_source_count,sources_with_success,all_selected_metrics_finite,success_obstacle_pass,collision_failure,off_track_noncollision_noncompletion,termination_off_track,termination_obstacle_collision,termination_empty
m2063-osd-osd_v0_0161_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.18347020182493368,-0.5492202615350941,31.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0161_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.07515283753733537,25.064554930318742,49.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0162_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.026395571274688168,2.919250288034057,35.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0162_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08147966029807718,4.858625127744531,34.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0162_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08444313993623931,1.8736944869203356,33.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0162_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1485221890692925,-5.615382954577385,25.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0162_t3,L3_reset_control_corrected,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.0557621993580093,-2.236628726480152,27.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0163_t3,L0_current_masked,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.13817414158702102,-4.722723498126992,26.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0163_t3,L1_one_step,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.1439976713719784,-7.945904906048348,23.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0163_t3,L2_window_50,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.09257882460908573,-8.912672024388165,21.0,0,,0,,True,0,1,0,0,1,0
m2063-osd-osd_v0_0163_t3,L3_online_gru,outcome_by_source_profile,no_support,1,0,1,0,0,0.0,1.0,0.0,0.0,-0.08589346631963424,-7.764811937711979,23.0,0,,0,,True,0,1,0,0,1,0
